	facts
29	I am dumpy, Like a skeleton, I have long legs, I have long fingers, I cannot eat shrimp, I am very popular and have a lot of friends, I am an excellent student, My parents are divorced
30	I am funny, I have sausage fingers, I can draw, I am bloated, I was a wild child in my younger years, My grand children mean the world to me, I am an avid quilter, I am a pharmacist
31	I am funny, I have sausage fingers, I like sprite soda, I am bloated, I can draw, I love mac and cheese, I like to watch tv, I like to sit on couch all day, I make cars for a living, I make 30k a year
32	I am nurse, I play the violin, I like to visit national parks, I met my husband when i was a freshman in college, I try not to think about death, I love to put a smile on peoples faces, I am a very bad liar, I am obsessed with filming
33	I am short, I am smart too, I like reading, I have big face cheeks, I am also round, I like the movie godfather, I like candy and soda, I am a man, I weight 300 pounds, I am not healthy
34	I am short, I am smart too, I have big face cheeks, I like reading, I am from california, I like to shop at goodwill, I am a student, I like to be outdoors
35	I am short, My hair is brown, I am not thin, I like to sew, I ve started creating my own comics and presenting them to publishers, I ve been rejected several times and thought of giving up with this, And also love drawing, I love comics
36	I am short, I have big face cheeks, I am also round, I like reading, I love to write stories while sitting in the grass in my back yard, I like to drink green tea, I enjoy watching mystery movies, I like to run so that i can clear my head
37	I am vegan, My father is a mechanic, I work at walmart as a stocker, My favorite band is muse, I love dogs, I like to fish, My dad was a carsalesman, I am a happy person
38	I am vegan, My father is a mechanic, I am leaving for college in three months, I work at walmart as a stocker, My cat s name is leroy jenkins, I wish i had a real dragon i could train, I enjoy playing retro video games on my 386, My suspenders sometimes make my shoulders hurt
39	I am vegan, I work at a retail store, I live close to the coast, I enjoy walking on the beach, I have red hair, I live alone in my condo, My favorite color is blue, I love to ride my bike on the weekend, I am an insurance salesman
40	I am vegan, My favorite band is muse, I work at walmart as a stocker, My father is a mechanic, I love to chat with my friends, I like to go shopping with my daughters, I love kids and dogs, I like to cook, I am a foodie
41	I am vegan, I live close to the coast, I have red hair, I enjoy walking on the beach, I work at a retail store, I sleep 8 hours, My mother looks after my grandmother, I prefer texting over phone calls, I use the computer all day, I love hockey
42	I am vegan, I love to go to the beach, I have 2 cats, My favorite food is strawberries, I work in a veterinary office, I almost always wear a t shirt and jeans, Skateboarding is a hobby of mine, I go to college part time, I have a crush on my co worker, I love candy
43	I am vegan, I love to go to the beach, My favorite food is strawberries, I work in a veterinary office, I have two kids , ages 2 and 6, I am from sterling heights , michigan, I work part time at aldi s, My favorite movie is titanic, My husband owns a small auto repair shop
44	I am vegan, I work at the grocery store, I help around with bookkeeping and tours, Sometimes i volunteer at an urban farm, I decided to become vegan a year ago, My grandma is from denmark, My favorite band used to be toto, My car is green and smells weird, My dogs name is toto, My favorite food is meatloaf
45	I am vegan, I enjoy walking on the beach, I have red hair, I live close to the coast, I work at a retail store, I love dogs, I love to cook, My dad was a carsalesman, I like to fish, I am a happy person
46	I am vegan, I work in a veterinary office, My favorite food is strawberries, I love to go to the beach, I have 4 pets, I enjoy magic the gathering , it is a card game, My favorite food is jello, I live in an apartment, I can t whistle
47	I am vegan, I work in a veterinary office, My favorite food is strawberries, I love to go to the beach, I have 2 cats, I drive a nice car, I work all the time, I take pride in my job managing the restaurant, My family is very important to me, My brothers work with me
48	I am vegan, I decided to become vegan a year ago, I work at the grocery store, Sometimes i volunteer at an urban farm, I help around with bookkeeping and tours, I like the color blue or red, I have always wanted to travel to ireland or puerto rico, I love the country but enjoy visiting the city life, I have two dogs , one pitbull and old english bulldog, I use to be a wild child
49	I am vegan, I am leaving for college in three months, My father is a mechanic, My favorite band is muse, My husband and i have a suicide pact, I love agatha christie novels, I grow the tallest sunflowers you have ever seen, I spend most of my days working at my churchs food pantry, I have 5 children , though 2 have passed away
50	I am vegan, I help around with bookkeeping and tours, I work at the grocery store, Sometimes i volunteer at an urban farm, I decided to become vegan a year ago, I like to go fishing, I am an athlete, I like to play board games, I race cars for a living, I have 4 daughters
51	I am vegan, I help around with bookkeeping and tours, I decided to become vegan a year ago, I work at the grocery store, I like to shop, My parents pay my rent, I love my dog, I m a vegetarian but i eat fish , especially sushi, I graduated college and immediately went to graduate school
52	I am young, I am strong, I am tall, I love to run fast, I never eat veggies, I love nighttime, I am an artist, I just bought new hoop earrings, I have a cat named charlie
53	I can draw, I like sprite soda, I m funny, I m bloated, I like to read, My favorite book is ender s game, I have a garden, I am a veteran, I grew up in kentucky
54	I can draw, I have sausage fingers, I m bloated, I like sprite soda, I want to be a music teacher, I play the violin, I enjoy watching horror flicks, My favorite color is red orange
55	I can draw, I have sausage fingers, I am bloated, I like sprite soda, My favorite show is battlestar galactica, I live on a beet farm, My favorite animal is a bear, I am a paper salesman
56	I can knit, I like going barefoot, My favorite book is jane austins pride and prejudice, I work as a tutor for english literature, I cannot eat shrimp, I have long legs, I am dumpy, I have long fingers, Like a skeleton
57	I can knit, I work as a tutor for english literature, I like going barefoot, My sister is a guitarist, My favorite book is jane austen s pride and prejudice, I have several children, I am a woman, My parents are still married, We live in a rural area, We have a dog
58	I can knit, I work as a tutor for english literature, My sister is a guitarist, I like going barefoot, I am an only child, My name is nancy, I like barbies, My favorite song is barbie girl, I m a girl
59	I can knit, My favorite book is jane austen s pride and prejudice, I like going barefoot, My sister is a guitarist, I speak fluent italian, I am a cat owner, I have one blue eye and one hazel eye, My brother is an archaeologist, My mom is an osteopath
60	I can knit, My favorite book is jane austen s pride and prejudice, My sister is a guitarist, I work as a tutor for english literature, My favorite food is pasta, I m a older woman, I retired so i can spend more time with my husband and helping people, I live in a rural area
61	I eat meat, I enjoy going to festivals, My friends don t call my by my real name, My favorite band is the story so far, I am 10 years old, I like to watch tv, My name is arnold, I love ham and cheese sandwiches, I also love orange juice
62	I eat meat, My favorite band is the story so far, I recently started working online, My friends do not call my by my real name, I enjoy going to festivals, I live with my parents and my little brother, I like to play soccer , draw and read asteria, I do not have too many friends in the us yet , but i am going to summer camp and i hope to make friends then ! i also think that i may make friends as soccer in the fall, I am in 3rd grade
63	I eat meat, I used to travel the usa playing guitar, My favorite band is the story so far, I used to work at a factory making boxes, I recently started to work online, I like rap music, I have a beard, I graduated high school, I live on a farm
64	I eat meat, My friends do not call my by my real name, My favorite band is the story so far, I recently started working online, I enjoy going to festivals, I hate to lose, My favorite season is spring, My father died when i was 2, I love fishing, I have blue eyes
65	I love art, I am currently pregnant with my second child, My husband in an engineer, I am a stay at home mom, I work full time, I like nature, I like to go hiking, I love eating out, My favorite color is blue
66	I m single, I prefer iphone over samsung, I owe 2 monitors for work, I read ebooks more than hardcopies, I love watching superheroes shows, I grew up as an orphan, I often play the clown to get attention, I want people to notice me, I will work hard for whatever i want
67	I m single, I prefer iphone over samsung, I love watching superheroes shows, I read ebooks more than hardcopies, I love to watch ted talks, I like to stay fit, I love animals, I don t much like tv
68	I m single, I prefer iphone over samsung, I read ebooks more than hardcopies, I owe 2 monitors for work, I enjoy reading, I love to clean my house, I live with my sisters and they provide me with all my needs, When i was a child i was kidnapped by my uncle, I am afraid to leave the house
69	I m single, I read ebooks more than hardcopies, I prefer iphone over samsung, I owe 2 monitors for work, I love watching superheroes shows, I have a parrot named parrot, I was born in baton rouge, I have male pattern baldness, My mother doesn t ! ove me, I am a classicly trained chef
70	I ve a dog, I m not very tall, I ve two siblings, I m looking for a job, My favorite color is red, I have a black purse, My favorite artist is guns and roses, I like to wear black, I drive a black car, I like rock music
71	I ve a dog, My favorite color is red, I m not very tall, I ve two siblings, I love being in nature, My mother is a teacher, I can speak three languages, I like to bike
72	I am a chef, I like to garden, I like to bake pies, I love traveling, I never have had alcohol in my life, I currently suffer from social anxiety, I have a girlfriend of 7 years, I am a geology major at alabama university
73	I am a chef, I like to bake pies, I like to garden, I love traveling, My favorite food is pizza, My idol is theirry henry, I have a wife and a 4 year old son, I went to stanford, I play soccer professionally
74	I am a chef, I like to bake pies, I like to garden, I love traveling, I like photography, I am a student, I am from california, I like to be outdoors, I think recycling is important, I like to shop at goodwill
75	I am a chef, I like to bake pies, I love traveling, I like to garden, We have two pets as well, I am currently a stay at home mom while my husband is the sole provider, I am thirty years old, I have two children
76	I am a girl, I own a car, My favorite color is blue, I love dogs, I love sushi, My favorite rapper is yo gotti, God has always been put first in my life, I am addicted to the hit show empire, I take pride in getting straight a s
77	I am a girl, I own a car, My favorite color is blue, I love dogs, I love sushi, I exercise, I play football, I eat well, I am in college, I am very social
78	I am a girl, I love sushi, I love dogs, My favorite color is blue, I am college student, I have a girlfriend named luis , and she goes to my college, I drive a ford mustang, I am 25 years old and live with my parents, I play drums in a band
79	I am a girl, I like to dance, My favorite animal is a zebra, I like to play outside, I have blonde hair that reaches my knees, Country music makes me cringe, I volunteer at animal shelters, I am an amazing dancer, I am a terrible speller
80	I am a girl, My favorite animal is a zebra, I like to play outside, I am in preschool, I don t like beer, My favorite animal is the koala, I work part time, I live with a roommate
81	I am a girl, My favorite song is barbie girl, My name is nancy, I am an only child, My brother lives in england, I own my own business, My favorite food is sushi, I have a timeshare in mexico, My favorite tv show is friends
82	I am a poet, I am the head of the gun club, My friends and i enjoy golfing on sunny days, I donate old clothes to the homeless, I have a beta fish, Before i die , i want to skydive, I start an internship in engineering later this year, I am a famous video game character online, My dream is to move to the middle of the desert, I have a pet snake
83	I am a poet, I donate old clothes to the homeless, I am the head of the gun club, My friends and i enjoy golfing on sunny days, I was born in france and moved to canada, My husband is an author and we have twins together, I am a digital artist, My favorite author is stephen king
84	I am a wife, I live by a lake, I own a custom upholstery shop, I love my grandchildren, I am a mother, I enjoy hiking and riding my bicycle, I am 29 years old, I am a night owl, I live in a suburb of boston, My favorite band is pearl jam
85	I am a wife, I love my grandchildren, I own a custom upholstery shop, I am a mother, I am a college student, I work at the grocery store, My favorite band is metallica, I own 4 cats
86	I am chubby, I love to larp, My favorite band is insane clown posse, I work as an interior designer, I am tall and blonde, I also own a cupcake business, I am always late, I sing in the shower, I work in a diner
87	I am chubby, I am tall and blonde, I work as an interior designer, I love to larp, My favorite band is insane clown posse, I m in a jazz band and play the saxophone, I vacation along lake michigan every summer, I have a black belt in karate, My favorite drink is iced coffee
88	I am chubby, I am tall and blonde, My favorite band is insane clown posse, I work as an interior designer, I love to larp, My favorite band is one direction, My name is mary and i m from colorado, I love to ski in the winter, I love to hike in the summer, The weather here is very cold , but so beautiful in the spring
89	I am single, I drive a bmw, I love to shop, I have a lot of friends, I like to listen to country music, People say i can cook well, I can play piano, I surf everyday, I work at a bar
90	I am single, I love to shop, I am in debt, I have a lot of friends, I am a vegetarian, I live on a pig farm, I have allergies, I wish that i lived in the city
91	I am single, I enjoy reading, I love dogs, My favorite flower is a lily, I work at a doctor s office, I enjoy crosswords , crocheting , and football, I m allergic to apples yet still eat them, I m a sixth grade teacher, I enjoy karaoke every friday night
92	I am single, I love to do yoga, I work for a newspaper, My favorite color is grey, My passion is writing, I enjoy reading, I work in the emergency room, I am a nurse, My favorite drink is dr pepper
93	I am single, I am buying a house, I play the piano, I am a nurse and work in an emergency room at a busy hospital, I like to be alone, I wait tables at a cafe, I have a cat, My mother was a nurse, I love to sew
94	I am single, I teach a yoga class, My mother was a teacher, My favorite food is salad, I enjoy nature, I am a violinist, My mother was a nurse, I recently discovered a new love for indian food, I have played since i was 4 years old, I am gong to adopt a dog very soon
95	I am single, I work for a newspaper, My passion is writing, My favorite color is grey, I love to do yoga, My feet are size six women s, I have a french bulldog, I love the band red hot chili peppers, I play bass, I want to be a journalist but instead i sell washers at sears
96	I am single, My mother was a teacher, I enjoy nature, I teach a yoga class, My favorite food is salad, I love to read true crime books, My parents live across the street from me, My favorite drink is caramel cappuccino, I m in grad school
97	I am single, I owe 2 monitors for work, I read ebooks more than hardcopies, I love watching superheroes shows, I prefer iphone over samsung, I have a cat, I hope to move out soon, I work at home , editing, I have depression and anxiety so i do not really go out a lot, I live at home with my dad and brother
98	I am single, My favorite color is grey, I love to do yoga, My passion is writing, I work for a newspaper, I m fabulous from my on trend haircut to my louis vuittons, I don t know why my sister in law dislikes me, I went to school for fashion design and did nothing with it, I haven t had to work a day in my life
99	I am single, My favorite color is grey, I love to do yoga, I work for a newspaper, My passion is writing, Pink is my favorite color, I married my highschool sweetheart, I enjoy being alone, My mother is dead
100	I am single, My favorite food is pizza, I am a cyclist, My father used to be a cop, I like to play soccer , draw and read asterix, I don t have too many friends in the us yet , but i am going to summer camp and i hope to make friends then ! i also think that i may make friends as soccer in the fall, I am in 3rd grade, I live with my parents and my little brother
101	I am single, I work at a restaurant as waiter, I am a cyclist, My father used to be a cop, I am lactose intolerant, My favorite color is orange, I have 3 roommates, I have a parakeet
102	I am single, I work at a restaurant as waiter, My favorite food is pizza, My father used to be a cop, I hope to be a football player when i grow up, My favorite food is spaghetti and meatballs, I am currently in elementary school, My favorite band is one direction, My mom is a professional tennis player
103	I am single, I talk to my mom on the phone every day, I love rap music, I love going fishing, I live in california, My favorite thing to do is read, I work at a power plant, My newest car is a chevy, I like to eat spaghetti
104	I am single, I am a nurse and work in an emergency room at a busy hospital, I paddle board on my days off, I am buying a house, I like swimming, I love dogs, My favorite band is korn, My favorite color is purple
105	I am strong, I love to run fast, I am tall, I am young, I married my high school sweetheart, I have 3 kids, I like the group the rolling stones, I need a soda with me at all times
106	I cook well, I like to bike, I can speak three languages, I love being in nature, I just took a trip to london, I hate green beans, I m very religious, I love to watch game shows, I m easily agitated
107	I cook well, My mother is a teacher, I like to bike, I can speak three languages, I love being in nature, I am a retired school teacher, We plan to travel after he retires, I like to take walks, Many of my former students like to visit me
108	I cs and ds, I love bruno mars, I love sweets, I am in high school, I sleep a lot, I am married with 2 kids, I am a high school teacher, I do yoga three times a week, I live in chicago
109	I hate evil, My mind is set on things above, I trust in god, I am weak and selfish , but i want to change, I make straight as, I eat healthy, I am in the band, I am a high school student, I am very social
110	I like cars, Favorite color is green, I like to travel, I got a new job, I like cats, I am a secretary, My favorite color is orange, I like tacos, I enjoy swimming, I have 3 cats
111	I like cats, I got a new job, I like cars, I like to travel, Favorite color is green, I work as an electrician, I hate winter, I love hamburgers
112	I like cats, I got a new job, I like cars, Favorite color is green, I like to travel, I watched the eclipse without using proper eye protection, I drink 10 cups of tea every day, I really enjoy hiking, My favorite color is red, I am deathly afraid of snakes , but not bugs
113	I like cats, I got a new job, I like to travel, I like cars, Favorite color is green, I like to paint, We have two sons, I like to attend wine tours, I enjoy visiting museums, My husband is 20 years older than me
114	I like cats, I m a vegetarian, I live in my parent s basement, I read a lot of used books, I work in a flower shop, My favorite book is twilight, I have 6 toes on one foot, I broke my nose in 5th grade, I have glasses, I hate skiing
115	I like cats, Favorite color is green, I got a new job, I like to travel, I like cars, I live in california, I like to surf, I am a mechanic, I own a german shepard
116	I like cats, I read a lot of used books, I live in my parents basement, I work in a flower shop, I think beets are the best vegetable, My favorite show is battlestar galactica, I am a paper salesman, I live on a beet farm, My favorite animal is a bear
117	I like cats, I read a lot of used books, I live in my parent s basement, I m a vegetarian, I work in a flower shop, I had to get a job early as a child, I never learned how to swim, My mother passed away in 1979, I am a meat eater, I like anime shows
118	I like cats, I live in my parents basement, I read a lot of used books, I love to have my nails done, I have one little boy named owen, My husband is a corporate attorney, I use to compete in beauty pageants
119	I like cats, I draw all of my friends as my little pony characters, I like being weird, I enjoy all things my little pony, I like to watch anime, I live with my parents and my little brother, I am a french girl , but i moved to the us last year, I am in 3rd grade, I don t have too many friends in the us yet , but i am going to summer camp and i hope to make friends then ! i also think that i may make friends as soccer in the fall, I like to play soccer , draw and read asterix
120	I like dogs, I grew up in nevada, I now live in new mexico, I am an orphan, I love to sing, I am a night owl, I am a dancer, I can play the piano, I am a vegetarian
121	I like dogs, I used to fly planes for a living, I grew up in nevada, I am an orphan, I play the guitair, I am studying software development, My name is kevin, I enjoy working out and learning new things
122	I like jazz, I like victorian things, I am a romantic, I collect dolls, Both my moms tell me they love me when i call them, I live in chicago, I have three dogs and two cats, I like to use a lot of exclamation marks when i type, Playing quake on slackware linux makes me happy
123	I like meat, I listen to rap, My favorite food is steak, I drive a black car, I am working in finance, I like to garden, I make my own soap, I make my own compost, I am a fruitarian
124	I love beef, I have a dog that has behavioral issues, I enjoy playing guitar and video games, I am in a very intimate and loving relationship, I have a farm with pigs , horses and hens, I am a vegan, I love dancing, I love country music
125	I love beef, I am in a very intimate and loving relationship, I have a dog that has behavioral issues, I enjoy playing guitar and video games, I work from home doing various jobs on the internet, My biggest fear in life is heights, I can make fart noises with my arm pits , even some musical melody, I have been cheated on by every ex girlfriend except for one, There is only been one set of twins in my family
126	I love book, I am in college, I am allergic to nuts, 1984 is my favorite book, I am working on a biology degree, I like having my back scratched, My mother has 500 pairs of shoes, I have 1 pair of shoes, I only eat at restaurants
127	I love book, 1984 is my favorite book, I am allergic to nuts, I am in college, I am working on a biology degree, I am a middle aged mother of two high school boys, My days are filled with cross country try outs and basketball practice, I have a friend group , but i do not like any of them, I coexist well with my husband, But , i feel lost and far away from who i truly am
128	I love book, I am working on a biology degree, I am allergic to nuts, 1984 is my favorite book, I am in college, I fix airplanes for a living, I think if i work hard enough i can fix the world, I drive junk cars that no one else wants, I prefer vinyl records to any other music recording format
129	I love book, I am working on a biology degree, 1984 is my favorite book, I am in college, I like reading, My favorite band is dream theater, I enjoy taking late night walks when its completely dark, I like being by myself, Pizza is my most favorite thing
130	I love cars, My favorite food is pizza, I am a morning person, I do not like animals, I like to role play, I grew up on a farm, I am a veterinarian, My brother is in the army, Running is my way to relax, I have two nephews
131	I love cars, My favorite food is pizza, I do not like animals, I like to role play, I am a morning person, I volunteer at the red cross on the weekends, I do yoga three times a week, I am married with 2 kids, I live in chicago
132	I love cats, I have five children, I am a woman, I like crocheting, I enjoy swimming, I love cooking, I have 4 dogs, I have a missing pinky toe, I do not like green eggs and ham
133	I love cats, My favorite food is pizza, I have never broken a bone, I am athletic, I am a freshman in college, I work at the grocery store, I decided to become vegan a year ago, I help around with bookkeeping and tours, Sometimes i volunteer at an urban farm, I am vegan
134	I love cats, I play a lot of video games, I am slightly overweight , but my doctors say i m healthy, I m a lesbian, Until then i will make 215 an hour, I am a college student who is a full time working mom, I make and me by waiting tables, I cannot wait to start my new life
135	I love cats, I decorate cakes for a living, I play a lot of video games, I am a lesbian, I like to read books that are in a series, I like to take drives in the country, I love to go out to eat with my family, I like to chat with my friends, I like to go to the movies
136	I love cats, I am slightly overweight , but my doctors say i m healthy, I m a lesbian, I decorate cakes for a living, I play a lot of video games, I love lasagna like i m garfield, I want to be an astronaut when i grow up, My two dogs are the best friends a girl could have, Penn teller are my favorite magicians, I have a poster of neil tyson degrasse on my wall
137	I love cats, I am slightly overweight , but my doctors say i m healthy, I decorate cakes for a living, I m a lesbian, I play a lot of video games, I like to go to comic con, I play the guitar, I am a lesbian, I write short films, My father recently had a heart attack
138	I love dogs, I enjoy reading, My favorite flower is a lily, I am single, I wake early to watch the sun rise every day, Sometimes i think i should get out and exercise more, I work 60 hours a week, I love sunsets, I eat breakfast then go right back to bed
139	I love dogs, I am a happy person, I love to cook, I like to fish, My dad was a carsalesman, Welding is my career field, I am a guitar player, I am primarily a meat eater, My parents do not know i am gay
140	I love dogs, I am a photographer, I have 4 dogs and i spend all my time with them, I like to drink at bars with friends, I have a sleeve of tattoos, I like camping and the outdoors in general, I am originally from london , england, I am a model building enthusiast, I recently lost both my parents to an automobile accident
141	I love dogs, My dad was a carsalesman, I am a happy person, I like to fish, I love to cook, I graduated from college, I like to hike, I lost my arm in a car accident, I am a farmer
142	I love dogs, My favorite band is korn, I own a home, My favorite color is purple, I like swimming, I work out daily, Ferrari is my favorite car company, I own many cars, Basketball is my favorite sport to watch
143	I love dogs, My favorite color is blue, I am a girl, I love sushi, I own a car, My mother is a ballerina, I have the support of my whole family, I am a white dancer, I plan to retire in 6 months, I ve studied ballet all my life
144	I love dogs, I work at a doctors office, I am single, My favorite flower is a lily, I enjoy reading, Once a year , i take a week off and head to florida, I was diagnosed with mild ocd in college, Sometimes i feel like i have already been through life once before, I freeze up in social situations
145	I love dogs, My favorite flower is a lily, I work at a doctors office, I enjoy reading, I live in colorado, I am married, My car is blue, I own my home
146	I love dogs, My mother is allergic to dogs, I work as a veterinarian s assistant, I have 2 dogs as pets, My mom is a nurse, I don t drive, I work at a bookstore, I never knew my dad, I have three tattoos
147	I love dogs, I occasionally go for walks down by the park, I am currently single but i am ready to mingle, I love to play league of legends, I am a professional gamer, I sing in the shower, I struggle with maintaining eye contact, My favorite video game is halo 3, I like to take cold showers
148	I love dogs, I am currently single but i am ready to mingle, I love to play league of legends, I am a professional gamer, I love smooth jazz, I have a poodle named nanette, I actually like wearing suits and ties, I live in new york city, I work on wall street
149	I love dogs, I have 4 dogs and i spend all my time with them, I like to drink at bars with friends, I m a photographer, I have a sleeve of tattoos, I am hoping to play, I just graduated college, I recently had knee surgery, I am 7 foot tall, I am hoping to play basketball overseas
150	I love food, I ve a big family, I prefer summer over winter, I was born outside the us, I love book, 1984 is my favorite book, I am allergic to nuts, I am working on a biology degree
151	I love food, I have a big family, I was born outside the us, I prefer summer over winter, I graduated college a few years ago, I love eating barbeque sandwiches and pizza puffs, I enjoy hanging out with my imaginary friends as a hobby, My favorite show is tom and jerry, My name is jovannie and i am 19
152	I love food, I prefer summer over winter, I graduated college a few years ago, I was born outside the us, I ve a big family, I have never traveled outside of the united states, I am a dog walker, I eat ice cream when i am sad, I live in new york, My best friend lives in japan
153	I love kids, I enjoy organizing my surroundings, I have a lot of style, When i am stressed , i overeat, I am a kindergarten teacher, I like to garden, I make my own soap, I am a fruitarian, I make my own compost
154	I love meat, I love to paint pictures, My wife use to be a teacher, My favorite food is pizza, I have a new job selling cars, I like to read horror novels, I work as an accountant, My favorite color is blue, I have 3 dogs, I like to go to the lake
155	I love meat, My favorite food is pizza, My wife use to be a teacher, I love to paint pictures, I have a new job selling cars, I have a son, I like going on walks, I run a small bakery, I love to laugh
156	I love meat, My wife use to be a teacher, I have a new job selling cars, My favorite food is pizza, I love to paint pictures, I learned how to reads when i was three, I dropped out of high school, I can read in english and french, I read three books a week, I love to read
157	I love tuna, I live in cape hatteras, My favorite is rock fish, I m going riding on my boat today, I am a fisherman, I only wear silver jewelry, I have a rose tattooed on my right ankle, I work in a doctor s office, I am studying to be a dental hygienist but i hate seeing patient s saliva, There are thorns tattooed on my toes
158	I m a vegan, I love going to concerts, I have a tattoo of an angel on my hip, I study philosophy at umass, My eyes are brown, This summer i went on vacation to italy, Sometimes i go to yoga classes, I work in the office , 9 till 5, I like italian cusine
159	I m a vegan, I have a tattoo of an angel on my hip, My eyes are brown, I study philosophy at umass, I love going to concerts, I am an athlete, I race cars for a living, I have 4 daughters, I like to go fishing, I like to play board games
160	I m a vegan, I have a tattoo of an angel on my hip, I love going to concerts, My eyes are brown, I study philosophy at umass, I play the bass, I have a large cd collection, I collect stamps, I like vintage furniture
161	I m bloated, I like sprite soda, I m funny, I can draw, I have sausage fingers, I try to watch what i eat, Pizza is my favorite, I am east asian, I enjoy eating italian food
